gene_id,Control1_NP,Control2_NP,Control3_NP,Control4_NP,Control1_P,Control2_P,Control3_P,Control4_P,EE1_P,EE2_P,EE3_P,EE4_P
MSTRG.7822,1961,2123,1229,1837,1046,1032,998,3732,3617,1707,1362,1407
MSTRG.7823,23,0,28,33,13,17,16,78,58,15,37,50
MSTRG.10153,3139,3271,2515,3276,2290,2249,1930,6750,5943,3562,2352,3554
MSTRG.18125,235,190,269,72,116,158,349,408,338,208,180,55
MSTRG.14000,38645,24317,25757,22767,32365,23153,20836,71626,82734,40554,34897,32596
MSTRG.10152,0,28,22,0,6,0,0,0,0,0,99,0
MSTRG.14226,742,660,706,531,563,802,473,1564,1413,1174,664,703
MSTRG.10151,8119,9593,6424,51,379,42,2721,185,493,171,8330,128
MSTRG.18123,1384,1139,1247,953,878,1184,861,2560,2238,1678,959,1379
MSTRG.154,214,214,169,120,204,223,123,352,493,288,296,169
MSTRG.155,20,6,0,0,11,0,0,11,25,10,0,10
MSTRG.156,26,7,10,5,10,7,7,8,18,0,3,12
MSTRG.157,657,502,408,452,567,454,360,1231,974,597,532,699
MSTRG.3495,356,366,422,307,246,211,274,605,624,499,308,349
MSTRG.3494,33,44,76,35,10,31,18,69,71,45,20,40
MSTRG.3497,442,4,324,243,53,0,0,72,0,40,97,0
MSTRG.3496,44,31,55,28,0,6,17,35,29,22,34,13
MSTRG.3499,890,835,862,709,767,608,634,1877,1697,1022,570,1133
MSTRG.10157,1138,1281,991,964,864,719,742,2415,2070,1417,874,1270
MSTRG.18121,324,421,363,321,404,299,294,773,663,607,348,679
MSTRG.158,26,6,0,0,0,6,0,16,0,0,8,4
MSTRG.159,14,24,21,10,10,22,6,57,50,13,10,22
MSTRG.10404,0,12,4,18,0,14,5,28,11,6,0,10
MSTRG.9394,8295,5978,5444,4240,4963,3233,3215,13346,10707,5336,3938,6107
MSTRG.9467,373,437,291,251,249,430,278,751,832,345,413,377
MSTRG.4144,304,190,202,189,171,86,99,372,492,150,170,143
MSTRG.9465,4889,5875,5368,4848,2891,2290,2008,8516,6449,5034,3272,4124
MSTRG.9390,2202,3759,1737,926,4137,2086,4243,5092,10458,5793,5178,4844
MSTRG.9391,154,46,15,28,16,78,11,92,14,64,14,10
MSTRG.9392,4727,3490,4420,1948,267,509,178,825,1092,756,292,528
MSTRG.9461,0,0,31,4,0,126,0,0,0,4,10,8
MSTRG.4554,56,98,71,68,120,124,96,487,320,148,130,163
MSTRG.9398,139,187,136,72,118,198,69,281,328,150,146,180
MSTRG.9399,35,84,46,56,14,78,21,98,122,95,75,111
MSTRG.9468,370,408,416,302,293,323,250,834,885,504,312,450
MSTRG.4149,649,1729,1631,1126,2206,483,1613,1474,6051,725,816,303
MSTRG.14526,1744,1631,1693,2321,1673,1167,885,3638,3187,1474,947,1817
MSTRG.14527,756,713,728,706,557,514,470,1441,1036,695,487,705
MSTRG.14524,184,407,314,6,15,0,149,17,48,2,456,0
MSTRG.14525,573,571,466,493,365,305,321,909,1035,560,296,476
MSTRG.14522,2563,2252,2159,1863,2147,1438,1411,4800,4495,2718,1656,2325
MSTRG.14523,31,45,33,22,49,11,20,74,77,95,19,42
MSTRG.14520,2,5,0,0,5,8,3,6,9,0,6,2
MSTRG.14521,7,40,55,17,22,15,1,18,41,12,15,4
MSTRG.19005,2265,1480,2329,603,462,559,540,986,1340,413,716,696
MSTRG.14528,484,607,469,426,280,274,318,826,570,666,378,579
MSTRG.14529,1351,1219,1253,1214,1019,777,818,3169,1990,1536,773,1521
MSTRG.17553,8981,6149,5991,3386,5765,5247,5797,15790,12946,6082,6773,8055
MSTRG.17550,4234,4269,3481,2374,3802,3612,3772,12892,11409,5093,6090,7650
MSTRG.1,4634,3691,2820,2512,4126,2985,2904,8976,8433,4163,3855,3977
MSTRG.10003,4675,4091,2737,4157,6080,3278,3770,11457,16105,5059,2929,6207
MSTRG.3615,0,0,0,0,0,0,0,0,0,0,16,0
MSTRG.6527,710,703,636,536,241,175,195,792,629,449,317,372
MSTRG.18042,2516,1500,1600,1490,1477,870,1025,3505,4513,1672,1695,1886
MSTRG.19722,30,24,23,43,23,14,11,17,51,34,23,12
MSTRG.9317,933,724,676,453,999,428,576,1919,3156,694,932,568
MSTRG.8839,731,523,465,543,436,376,298,1007,1189,527,347,579
MSTRG.548,2282,2008,1740,1817,1589,1287,1440,3571,3961,2096,1593,1922
MSTRG.4556,2,0,0,4,0,0,8,7,7,5,6,5
MSTRG.21447,708,748,577,557,495,378,512,1436,1409,600,736,627
