gene_id,Control1_NP,Control2_NP,Control3_NP,Control4_NP,Control1_P,Control2_P,Control3_P,Control4_P,EE1_P,EE2_P,EE3_P,EE4_P
MSTRG.7100,14293,11145,11462,9558,10823,9095,9817,24719,28988,17402,11246,14971
MSTRG.9818,513,348,412,278,335,393,315,1037,948,354,406,425
MSTRG.15559,277,187,166,289,158,136,167,593,410,186,168,179
MSTRG.8960,2517,2578,2343,1885,1839,1636,1314,5064,4463,2381,1798,2889
MSTRG.20088,6,3,6,4,5,0,0,0,10,8,14,0
MSTRG.20089,0,13,0,12,10,0,13,15,19,8,30,0
MSTRG.20086,2863,3524,2722,2027,1935,1861,1906,5786,5788,3260,2516,2950
MSTRG.20087,0,0,0,0,0,0,0,0,17,6,16,0
MSTRG.20084,0,0,0,0,4,21,6,12,0,0,0,0
MSTRG.20085,11,0,0,0,0,36,0,21,22,15,19,6
MSTRG.20082,340,217,135,192,70,151,108,248,416,136,175,172
MSTRG.20083,141,128,117,164,106,128,78,412,347,323,144,185
MSTRG.20080,3799,3396,3216,2554,2506,2118,1998,6813,5652,2685,2103,2859
MSTRG.7173,0,9,7,0,0,5,9,10,16,0,0,0
MSTRG.699,553,493,417,448,459,421,321,1045,977,508,438,552
MSTRG.698,1126,703,439,961,750,732,339,2390,2409,814,693,954
MSTRG.697,1883,1370,1166,1391,1637,1055,940,3411,3486,2237,1267,1306
MSTRG.8961,737,509,420,387,473,400,362,1151,1327,590,542,559
MSTRG.695,630,541,567,473,356,265,260,884,855,510,405,571
MSTRG.694,1321,1256,840,1034,802,734,529,2124,2245,1060,711,1232
MSTRG.693,3966,3334,2294,1406,866,698,427,1103,1546,781,779,869
MSTRG.692,621,740,676,571,425,437,485,1296,1078,715,482,625
MSTRG.691,1037,1176,1295,1071,1029,839,867,2559,2027,1580,935,1285
MSTRG.690,22,6,29,8,11,8,87,44,254,16,7,698
MSTRG.15828,0,0,0,0,0,23,0,0,8,0,0,0
MSTRG.15829,22,14,0,0,0,0,5,0,0,0,8,0
MSTRG.15798,387,579,611,541,348,459,393,2701,852,719,585,644
MSTRG.8294,190325,235998,149990,143494,212619,209409,67770,408603,559278,111206,216268,137423
MSTRG.15824,2815,2864,1933,1600,1833,1222,1742,3523,2824,1690,1833,2420
MSTRG.15825,1405,1093,1037,913,1094,775,673,1939,2548,1024,1079,1334
MSTRG.15826,82,130,65,62,90,132,102,201,227,144,83,136
MSTRG.15827,183,118,145,95,111,126,95,304,277,164,117,189
MSTRG.15820,844,899,735,763,667,699,463,1585,1532,947,658,861
MSTRG.15821,11993,11042,12855,11257,9616,9702,8683,30264,26836,14795,11630,17659
MSTRG.15822,10,1,0,0,0,0,7,27,0,10,0,12
MSTRG.15823,1959,1714,1360,1007,1377,1097,1287,3007,3112,1313,880,1034
MSTRG.19113,0,0,0,0,0,9,0,0,0,0,0,0
MSTRG.8829,547,387,613,418,625,613,612,2269,1716,411,615,826
MSTRG.13777,1995,1601,1383,1265,1385,1166,870,3990,3190,2060,1473,1380
MSTRG.6153,1849,1669,924,885,1907,1266,1421,4178,6295,1648,2294,2635
MSTRG.20262,583,589,593,447,392,747,417,1021,1117,706,341,904
MSTRG.20263,979,1213,930,1103,806,755,801,2437,1603,1177,981,1269
MSTRG.20260,2153,1920,2634,1277,1924,1465,1823,5013,5732,2010,2369,2610
MSTRG.20261,88,47,37,13,11,84,35,124,44,77,40,107
MSTRG.20266,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.20267,610,627,614,532,461,346,387,1121,964,788,383,627
MSTRG.20264,1381,492,303,449,154,52,99,260,165,101,147,215
MSTRG.20265,1221,738,782,875,652,440,502,1523,1628,1241,625,922
MSTRG.18313,5072,5336,5705,3944,2847,2174,2484,6037,8891,3967,3270,5273
MSTRG.7561,10,5,0,6,0,12,8,12,19,0,10,0
MSTRG.20268,546,567,802,602,530,432,294,1064,1201,799,437,593
MSTRG.20269,20926,16997,15553,11577,16406,10835,10335,35544,34910,23827,17939,19479
MSTRG.12988,93,119,151,157,111,120,94,266,253,103,93,169
MSTRG.13431,1178,1924,2161,1223,2249,1493,987,5108,4369,2792,1644,2405
MSTRG.964,3474,3412,3390,3477,2469,1858,2007,6809,5355,4478,2440,3344
MSTRG.967,412,217,142,268,243,201,185,625,500,332,157,307
MSTRG.13432,1857,2287,2096,1729,1325,1561,1635,3698,3227,2155,1713,2108
MSTRG.13435,14,0,0,0,0,0,5,0,78,6,7,0
MSTRG.960,15,0,8,9,11,26,0,18,74,0,23,20
MSTRG.13437,0,0,0,5,8,3,7,21,0,0,0,4
MSTRG.19849,1415,1506,1373,1466,1311,1030,903,3267,2693,1914,1553,1408
MSTRG.19846,64,84,64,66,42,22,51,127,165,73,76,91
MSTRG.13438,886,877,673,385,957,552,391,1672,2218,916,1222,900
MSTRG.19844,210,158,158,103,155,167,149,346,318,100,137,196
MSTRG.19845,313,295,342,252,292,106,187,612,551,340,260,291
MSTRG.19842,0,1,0,0,0,0,0,0,0,0,0,0
MSTRG.19843,2953,1068,2304,1089,3166,2075,863,2494,6808,1066,2516,1253
MSTRG.19840,46,60,52,71,63,54,26,112,145,41,77,76
MSTRG.19841,1915,1656,1340,1546,1463,1117,987,3092,3515,1798,1460,2237
MSTRG.15172,93,34,17,26,39,40,21,69,81,88,108,39
MSTRG.15173,21,10,35,4,10,9,0,49,21,12,22,10
MSTRG.15170,809,558,578,617,484,588,426,1385,1059,620,544,696
MSTRG.15171,2357,2423,1564,1449,1681,1262,1307,4123,4280,1840,1420,2141
MSTRG.15176,962,705,746,684,717,780,530,1669,1721,1051,707,1171
MSTRG.15177,619,557,389,382,382,302,359,962,943,571,406,608
MSTRG.15174,12,4,3,0,0,0,3,17,16,10,5,7
MSTRG.7560,2854,1781,1993,1730,1800,1564,1685,4329,4404,2984,2069,2207
MSTRG.18841,1356,1182,1054,879,981,715,631,2029,2384,1286,862,1016
MSTRG.15178,7,0,0,0,0,0,0,0,0,0,10,0
MSTRG.15179,2359,3412,2736,2651,1657,1956,1938,4983,4007,3108,2168,2920
MSTRG.6101,330,186,265,260,215,124,179,485,430,207,148,206
MSTRG.10522,3350,2854,2322,1777,1943,1260,1451,4767,4352,2299,1323,2251
MSTRG.10523,663,663,562,500,633,444,438,1421,1625,558,595,828
MSTRG.10520,1119,656,420,735,683,614,460,1774,1683,626,586,1077
MSTRG.10521,110,25,40,36,44,50,51,193,74,18,12,51
MSTRG.10526,1024,1008,800,590,496,546,565,1736,1648,660,696,793
MSTRG.10527,947,823,649,496,604,518,555,1342,1698,1047,672,867
MSTRG.10524,449,583,520,441,465,392,406,889,1171,617,513,643
MSTRG.10525,102,152,156,135,119,96,118,292,203,251,186,133
MSTRG.16035,340,184,299,303,136,154,91,424,321,250,223,295
MSTRG.10528,968,2171,1164,977,790,705,769,2349,1533,1165,659,1105
MSTRG.10529,164,230,106,64,139,261,134,729,440,110,123,190
MSTRG.7038,1114,823,819,731,684,479,375,1957,1506,910,642,809
MSTRG.12764,8,5,0,0,6,13,7,12,24,0,8,13
MSTRG.12352,0,4,7,3,4,0,0,0,6,0,0,0
MSTRG.7563,358,557,869,968,306,396,356,1500,1071,276,307,1320
MSTRG.7107,277,306,208,222,185,248,216,631,422,341,117,279
MSTRG.5660,41,26,18,23,35,16,32,53,43,36,34,14
MSTRG.11396,7144,5681,5168,3917,5321,4177,3190,11199,12584,7485,5304,6451
MSTRG.5662,744,601,742,385,530,423,449,1127,1362,729,437,641
MSTRG.5663,11,19,8,11,13,8,17,32,17,7,6,9
MSTRG.16157,0,0,0,22,3,0,0,8,0,5,0,3
MSTRG.5665,0,10,0,0,9,0,0,13,0,0,0,0
MSTRG.5666,0,14,8,0,0,0,0,15,7,0,8,0
MSTRG.5667,49,74,54,28,80,31,56,100,141,72,48,50
MSTRG.10507,378,365,311,334,248,231,262,691,786,385,337,446
MSTRG.6150,696,411,356,2,41,8,249,35,114,0,522,19
MSTRG.17324,1176,2000,1945,1678,1663,1157,1233,3726,3102,2465,1692,2077
MSTRG.12944,139,37,50,28,111,11,89,95,217,68,103,122
MSTRG.4656,95,69,119,60,33,51,37,200,311,47,53,126
MSTRG.4173,1342,1047,572,891,1077,712,715,2553,2462,1303,752,1351
MSTRG.2508,294,265,207,337,229,184,170,544,498,265,197,278
MSTRG.20081,68,52,57,54,44,31,31,70,111,55,51,42
MSTRG.8963,1659,1107,1116,981,912,698,680,2117,2502,1052,939,1110
MSTRG.8091,0,22,5,14,10,47,13,43,64,9,21,38
MSTRG.16156,21,32,28,4,0,69,9,42,54,24,27,78
MSTRG.2703,2,4,0,3,0,0,2,5,8,2,1,2
MSTRG.6157,260,193,222,143,185,176,114,456,397,239,205,253
MSTRG.12447,27,12,36,17,21,39,13,128,113,41,36,37
MSTRG.18159,11,10,7,0,0,9,7,24,0,0,11,13
MSTRG.19951,22,7,15,23,23,9,18,44,35,12,23,14
MSTRG.7565,17,16,11,0,18,0,14,25,36,24,14,14
MSTRG.13299,692,464,362,376,426,335,178,1212,967,632,455,535
MSTRG.13298,420,468,415,359,333,263,254,768,732,463,303,497
MSTRG.17236,417,358,410,303,282,315,314,675,878,469,356,456
MSTRG.13295,709,757,771,542,624,445,469,1523,1338,854,579,704
MSTRG.13294,818,751,500,562,662,549,384,2379,1356,1229,618,901
MSTRG.13297,408,341,142,303,244,318,134,974,736,305,273,382
MSTRG.13296,1043,959,868,943,794,657,617,2360,1895,890,725,1119
MSTRG.13291,5,0,0,0,0,0,9,0,6,6,0,0
MSTRG.13290,443,539,483,356,399,898,501,1504,1618,577,511,428
MSTRG.13293,258,293,182,238,159,149,147,555,438,236,191,277
MSTRG.13292,399,306,317,267,306,216,177,726,837,312,297,337
MSTRG.21027,18,21,19,20,17,20,16,30,31,19,19,25
MSTRG.21026,0,0,0,0,0,15,0,0,0,0,0,0
MSTRG.21025,1601,1649,1145,1364,1161,1337,831,2711,2263,1603,877,1568
MSTRG.21024,212,331,261,242,233,157,107,554,498,271,159,188
MSTRG.21023,11,11,9,5,3,1,0,28,14,3,6,10
MSTRG.21022,15,6,8,6,17,2,4,35,25,4,10,16
MSTRG.21021,110,108,89,92,40,131,52,167,165,64,93,101
MSTRG.21020,936,451,791,468,955,699,446,2073,1074,731,854,778
MSTRG.3842,192,265,154,186,218,247,191,243,578,460,227,226
MSTRG.3843,0,0,6,3,0,0,23,0,6,7,0,0
MSTRG.3840,563,376,554,425,360,152,191,630,650,544,357,393
MSTRG.3841,646,284,506,277,108,159,164,380,828,340,232,315
MSTRG.3846,15348,8323,7937,8292,7908,3435,5577,22203,18157,11575,8371,9742
MSTRG.3847,2310,2492,1662,1669,2223,1048,1201,3945,3117,2543,1600,2066
MSTRG.3844,12,13,11,8,0,8,6,17,11,11,1,0
MSTRG.3845,0,3,0,0,0,0,5,0,0,0,0,6
MSTRG.12216,0,0,0,5,2,0,10,11,15,9,0,10
MSTRG.12217,440,446,454,501,318,410,322,934,777,843,373,558
MSTRG.12214,2437,1568,1234,903,1681,1334,840,2447,3987,1566,1564,1273
MSTRG.12215,868,735,594,530,499,471,625,1461,1264,1007,578,869
MSTRG.18719,69,35,45,27,30,132,33,50,94,29,26,72
MSTRG.18718,522,244,318,198,201,445,214,625,718,426,369,342
MSTRG.12210,32,28,20,5,18,34,21,49,36,24,47,24
MSTRG.12211,9,6,12,6,11,17,5,26,12,10,7,10
MSTRG.12748,1975,1166,907,352,612,415,405,1814,1861,937,723,513
MSTRG.12749,178,158,295,121,90,80,79,270,415,134,174,184
MSTRG.18717,463,563,452,446,248,211,268,924,478,356,330,606
MSTRG.11395,1502,625,920,682,483,769,647,1498,1895,728,840,779
MSTRG.18711,6077,5319,7298,3780,3886,4017,3023,11102,10353,6114,4920,5363
MSTRG.18710,25,6,10,0,8,0,0,13,56,0,6,10
MSTRG.12218,83,85,83,36,54,30,50,177,138,64,82,78
MSTRG.12219,5,14,0,110,17,8,0,48,31,4,0,22
MSTRG.2870,0,0,3,6,0,0,0,10,0,0,4,0
MSTRG.16031,1063,647,662,0,706,512,493,1595,1744,803,596,718
MSTRG.6155,996,1203,813,2278,786,476,590,2544,1583,1348,573,1118
MSTRG.7567,46,29,20,12,35,19,15,54,94,40,58,52
MSTRG.856,6,0,13,69,9,16,5,8,6,13,0,20
MSTRG.18840,5492,6969,5440,4079,5146,3744,3467,15509,12119,7841,3516,5939
MSTRG.17534,25,0,6,39,43,0,10,97,133,5,0,6
MSTRG.17535,0,0,0,16,5,0,0,14,27,0,0,0
MSTRG.17536,0,0,0,16,0,0,0,25,22,0,9,0
MSTRG.17537,10,9,9,34,24,14,8,79,55,0,15,0
MSTRG.17530,2320,2844,2814,2127,2004,1608,1981,5406,6008,3150,2112,3089
MSTRG.17531,0,0,4,18,11,7,0,23,29,0,0,0
MSTRG.17532,12,8,13,26,29,12,0,56,80,10,10,0
MSTRG.17533,0,6,3,8,0,8,0,22,15,0,0,0
MSTRG.17538,66,43,28,106,64,49,22,289,222,15,40,18
MSTRG.17539,0,7,0,21,16,0,0,27,54,8,0,0
MSTRG.5719,2722,2230,2513,1683,2138,1722,1681,5159,4213,2343,1897,2634
MSTRG.16919,3461,1983,2284,1711,2986,2247,2310,7731,6748,3048,3314,3721
MSTRG.16918,0,0,0,0,0,0,0,0,0,1,0,0
MSTRG.16530,4295,6507,6353,7169,1491,3265,3460,10857,11218,5836,4131,5299
MSTRG.1966,29,21,33,18,31,16,12,83,52,33,20,35
MSTRG.16911,2660,2054,1481,1742,2080,1868,1080,5400,5559,2483,1684,2614
MSTRG.16910,5,2,0,0,0,0,0,2,0,0,0,3
MSTRG.16913,209,280,220,432,265,149,140,539,605,265,166,263
MSTRG.16912,3806,2748,2514,2622,4147,2662,2590,8417,7815,4195,3336,4834
MSTRG.16915,118,322,365,143,235,224,271,628,570,404,271,280
MSTRG.16914,5,15,3,2,8,20,11,17,10,25,11,30
MSTRG.16917,0,0,0,0,0,6,0,0,0,0,0,0
MSTRG.16916,1603,1674,1323,3016,929,1219,1405,5016,2745,1293,1288,3161
MSTRG.6867,6660,6107,6716,3274,8666,5543,5140,13029,14691,5520,6003,7104
MSTRG.6866,2429,1431,918,798,2027,886,312,2731,3379,1127,1546,1605
MSTRG.6865,393,332,314,304,277,235,262,730,671,439,287,403
MSTRG.6864,611,457,499,462,441,379,416,1004,1263,681,451,582
MSTRG.6647,30,28,25,22,7,56,28,55,56,17,25,18
MSTRG.6862,5580,5918,5572,4613,4132,3762,4438,11465,10800,6717,4249,6598
MSTRG.6645,1746,1194,1370,1359,1017,1244,1229,3445,3347,1463,1238,1845
MSTRG.6860,185,50,83,92,126,87,72,216,245,197,92,110
MSTRG.6319,3795,4344,4225,4349,2638,2249,2107,7325,5499,4939,2712,3992
MSTRG.6318,4263,3423,3513,6568,3667,2046,2166,10461,7466,3594,1823,5297
MSTRG.16152,2459,2737,2175,1738,1475,1303,1117,4688,3797,1948,1631,2345
MSTRG.6648,186,178,155,126,153,90,92,343,376,251,132,266
MSTRG.19325,3162,1788,2049,1544,1304,1038,866,3739,3418,1471,1032,1476
MSTRG.6869,33,28,0,0,61,0,14,29,40,14,6,14
MSTRG.6868,62,25,18,18,25,10,8,26,43,24,12,23
MSTRG.2526,356,256,259,206,193,156,142,517,441,238,196,194
MSTRG.2527,32,20,5,0,0,18,12,9,24,11,0,284
MSTRG.2524,9,0,8,4,70,0,8,351,33,29,39,47
MSTRG.2525,927,604,630,459,450,351,357,1303,1045,646,442,597
MSTRG.2522,75,36,69,11,65,33,13,96,65,71,46,135
MSTRG.2523,977,737,1073,735,930,366,562,1526,1656,533,558,882
MSTRG.2520,1870,2468,1662,1520,1556,1364,1099,3694,3906,2331,1506,2079
MSTRG.2521,1189,683,871,785,773,595,505,2168,1539,1049,1021,1276
MSTRG.5615,12,19,13,15,20,194,12,75,126,62,44,18
MSTRG.2509,0,2,0,6,5,0,2,17,37,15,3,5
MSTRG.2528,25,22,11,0,0,0,0,0,21,8,108,9
MSTRG.2529,0,25,4,0,8,6,0,12,0,4,0,0
MSTRG.15796,1715,1893,1574,1496,1330,1286,1235,3542,3795,2424,1317,1870
MSTRG.19321,1427,1183,1333,1030,925,879,929,2418,2511,1381,1033,1323
MSTRG.15797,919,958,735,814,754,456,412,2028,1891,1295,748,911
MSTRG.14958,3033,3591,3405,3141,2259,1762,1656,6127,5011,4113,2082,3083
MSTRG.19320,72,99,248,65,86,76,109,251,161,68,112,85
MSTRG.15794,5517,5105,4992,3195,3893,3089,4471,11735,8624,5697,5187,5299
MSTRG.20573,0,0,0,0,0,0,0,0,3,0,0,52
MSTRG.12851,3011,2382,2598,1675,1282,973,784,3763,2552,1691,1807,1453
MSTRG.15795,154,105,105,101,60,63,93,218,428,119,112,217
MSTRG.19651,19,3,3,7,0,0,1,2,4,0,0,4
MSTRG.14889,954,810,542,542,561,443,502,1455,1405,722,672,757
MSTRG.15792,208,249,177,288,241,232,227,715,534,416,249,344
MSTRG.12853,1487,1624,1228,684,735,427,376,1254,1157,794,563,906
MSTRG.15793,86,103,157,70,67,63,108,196,183,113,98,124
MSTRG.10925,94,81,15,60,37,30,13,109,275,50,68,29
MSTRG.15790,450,391,466,391,413,559,298,1203,1118,1089,518,832
MSTRG.8123,6,0,0,0,0,28,0,0,3,0,0,0
MSTRG.15791,1103,969,1000,757,717,1251,782,1927,2038,1259,971,986
MSTRG.14912,4,8,7,5,0,11,2,5,2,2,0,3
MSTRG.17214,295,272,298,124,422,255,252,478,698,425,411,491
MSTRG.7526,1675,1600,1273,1458,1135,932,941,3109,3149,1657,1090,1524
MSTRG.3043,121,161,124,158,204,109,156,394,386,186,205,167
MSTRG.16669,60,211,108,173,118,95,89,270,140,156,27,189
MSTRG.16668,1401,920,1030,770,1069,644,820,2241,3072,1612,1018,981
MSTRG.16663,359,420,421,293,328,356,275,591,545,525,256,486
MSTRG.16662,420,639,565,282,660,616,500,1505,2055,979,710,734
MSTRG.16661,685,914,680,612,682,394,446,1078,1650,823,499,742
MSTRG.16660,3059,2530,1698,1582,2930,2534,1972,7870,7466,3111,2697,3721
MSTRG.16667,0,0,0,0,0,0,0,5,0,2,0,0
MSTRG.16666,175,199,94,120,196,145,67,492,311,194,53,183
MSTRG.16665,1251,856,543,574,707,460,444,1664,1507,732,490,542
MSTRG.16664,1362,1569,1148,1737,1219,1443,1086,4020,2946,1616,1210,1862
MSTRG.12964,281,281,263,316,349,211,168,668,473,351,208,283
MSTRG.12965,101,68,75,97,88,51,52,146,136,105,94,79
MSTRG.12966,2175,762,661,664,1330,1352,805,2999,3310,1169,1013,1110
MSTRG.12967,2252,64,43,388,931,6,263,56,214,251,0,30
MSTRG.12960,1892,1588,1755,1367,1334,1102,874,3343,3850,2147,1315,1367
MSTRG.12961,1078,1282,1061,881,1025,859,951,2311,2161,1286,1012,1871
MSTRG.12962,6150,6306,5515,5758,5031,3680,3206,12934,11459,6185,3959,6132
MSTRG.12963,18,41,48,31,18,19,2,42,60,38,27,25
MSTRG.12968,7205,309,184,1300,3526,62,2469,1384,4220,1341,80,114
MSTRG.10688,0,0,0,0,0,0,0,0,4,0,47,0
MSTRG.13449,3029,1931,1896,1480,2182,1772,1980,4778,5309,2543,1996,2412
MSTRG.11248,1360,987,789,772,1070,652,502,2401,2174,821,961,919
MSTRG.11249,1554,857,792,668,1155,627,796,1771,2778,876,898,1055
MSTRG.21606,10,12,5,3,5,8,7,14,14,6,5,8
MSTRG.11244,107,61,45,28,1320,282,62,28,71,9,138,5
MSTRG.11245,16663,15396,11383,13740,17768,15798,7909,42959,38063,19987,13110,18053
MSTRG.11246,10546,9502,8416,7183,7290,8032,6125,19655,20650,7942,8841,10399
MSTRG.11247,613,389,195,302,871,305,230,515,2146,939,706,469
MSTRG.11240,327,345,351,316,436,534,315,2222,2003,1296,821,903
MSTRG.11241,117,133,0,0,8,59,0,0,7,186,119,62
MSTRG.11242,320147,223359,196969,162686,197504,181834,156464,707104,412430,338767,206921,345933
MSTRG.11243,2023,4,1068,1,0,0,611,54,1478,801,776,674
MSTRG.18310,5,7,0,4,1,0,0,11,12,0,9,7
MSTRG.4452,3,0,3,9,0,15,16,14,16,6,6,10
MSTRG.17216,41,35,268,92,32,11,30,115,19,22,0,43
MSTRG.11629,6,0,12,10,9,4,0,3,9,0,5,7
MSTRG.3418,261,194,125,160,171,91,84,391,399,181,147,157
MSTRG.12876,22,23,14,35,18,32,16,44,61,25,26,25
MSTRG.15830,87,33,27,12,0,0,6,0,0,4,41,0
MSTRG.12942,5043,2444,2578,1830,3891,1338,1834,9068,7778,3903,2294,3172
MSTRG.8331,656,432,306,352,315,359,201,782,1304,339,239,330
MSTRG.21600,12,16,14,2,19,16,8,27,55,14,13,28
MSTRG.20614,233,460,232,197,130,195,152,468,382,166,218,172
MSTRG.16775,243,300,210,23,48,35,174,223,106,24,469,36
MSTRG.8116,3578,2729,2243,2916,2878,2043,2332,6696,6359,3453,2435,3812
MSTRG.4258,243,169,208,182,247,82,128,466,386,278,143,133
MSTRG.4259,15,10,4,5,6,4,4,15,23,9,2,4
MSTRG.4256,365,298,314,166,212,430,177,546,1059,278,302,283
MSTRG.4257,2177,1958,1524,1388,1564,1649,1399,4486,3557,1946,1648,2082
MSTRG.4254,46,48,54,43,31,62,42,137,111,45,63,41
MSTRG.4255,17069,19106,18643,13261,15185,11017,10564,41557,34728,24728,15841,18772
MSTRG.4252,1157,738,932,1207,1359,1117,853,3383,2531,1277,930,1461
MSTRG.12379,64,61,58,34,43,37,33,109,91,44,13,83
MSTRG.12877,20,23,13,35,19,34,17,50,64,25,30,24
MSTRG.4459,3236,2480,3198,1324,1037,1044,921,5570,3263,1851,1196,1797
MSTRG.2243,3867,3336,3042,3345,3855,2467,2786,8137,7991,5144,2585,4305
MSTRG.19848,3149,3051,2744,2312,1890,1799,1509,5830,3857,3127,2450,3439
MSTRG.16774,2096,1885,1564,1602,1658,1777,1141,4026,4272,1820,1000,2095
MSTRG.6949,722,866,916,927,788,780,562,1796,1810,1188,792,1103
MSTRG.2940,3338,4625,4681,2964,3139,2314,2685,6698,5592,5257,3307,3740
MSTRG.2941,379,514,513,420,357,321,461,846,859,731,400,664
MSTRG.2942,2383,2210,2476,1648,1720,1551,1532,4732,3091,2627,1598,2284
MSTRG.2943,601,633,429,350,458,335,304,960,1126,559,437,624
MSTRG.208,858,919,649,552,574,550,485,1246,1937,730,811,1050
MSTRG.2945,442,274,227,202,289,304,203,790,780,442,399,568
MSTRG.2946,0,0,0,7,0,0,0,0,0,0,0,0
MSTRG.2947,355,415,301,297,302,180,274,744,629,361,182,407
MSTRG.756,5713,4979,4277,4260,3986,3060,2823,9770,8738,5378,3432,5278
MSTRG.8576,699,347,386,18,83,14,241,158,296,19,583,16
MSTRG.754,0,0,1,0,0,0,0,0,0,0,0,0
MSTRG.8574,715,768,628,526,666,592,543,1571,1524,655,756,796
MSTRG.752,832,987,761,695,691,540,390,2115,1668,1306,799,853
MSTRG.8572,670,730,565,526,476,503,461,1227,1156,786,481,748
MSTRG.750,2018,1875,1256,1910,1715,1391,947,4731,2637,2182,1213,1827
MSTRG.8570,676,581,492,407,432,492,364,1044,1066,592,492,719
MSTRG.19576,98,97,72,83,67,59,60,155,144,57,37,58
MSTRG.15369,117,69,108,58,55,100,95,263,224,133,101,129
MSTRG.15368,513,585,444,411,336,335,373,1162,1201,499,334,524
MSTRG.15367,261,301,276,450,344,318,256,919,740,458,362,480
MSTRG.15930,0,0,0,0,0,0,0,672,0,0,0,0
MSTRG.15365,93,173,87,122,87,122,78,291,230,202,97,228
MSTRG.9466,5520,6307,7143,6371,3864,1955,3143,7952,7348,4256,4940,5202
MSTRG.15363,20,0,4,0,10,5,28,9,9,18,49,8
MSTRG.15362,14844,14960,14740,13552,8670,5983,6859,22846,21976,13943,8269,10699
MSTRG.15361,960,1002,916,808,739,622,613,1546,1683,953,770,1053
MSTRG.15360,553,529,453,352,386,308,260,786,970,421,329,435
MSTRG.9992,491,291,655,317,344,288,244,763,679,422,369,462
MSTRG.9993,3181,2540,2423,2084,2120,1473,1580,5917,5675,3635,2193,2806
MSTRG.9990,4378,3433,3942,2873,1902,1498,1367,5711,4211,2493,1869,2569
MSTRG.18158,3288,3538,2840,3291,2868,2069,2338,7143,7637,3525,2626,3787
MSTRG.9996,2816,2559,2068,2013,1730,1205,1220,4226,3045,2430,1307,2134
MSTRG.9997,0,1,0,0,2,1,1,0,0,1,1,0
MSTRG.9994,556,523,198,421,385,277,241,1045,963,591,295,466
MSTRG.9995,792,745,344,575,504,466,373,1604,1187,781,296,695
MSTRG.18153,677,584,536,543,902,716,655,2213,2262,1065,1017,1260
MSTRG.18152,31,12,24,41,27,13,0,58,10,9,25,26
MSTRG.9998,0,0,0,0,0,32,0,7,4,0,0,5
MSTRG.18150,845,778,530,696,712,432,433,1635,1553,881,615,837
MSTRG.18157,832,756,856,612,797,611,591,1604,1519,1212,824,878
MSTRG.18156,667,1131,528,796,568,649,409,1837,1553,878,752,748
MSTRG.18155,309,320,367,242,439,371,378,1063,1789,605,532,613
MSTRG.9214,124,70,56,61,65,64,30,125,121,49,101,43
MSTRG.7032,681,539,623,466,353,444,259,1419,911,959,417,681
MSTRG.1911,0,0,0,0,1,0,0,0,0,0,0,0
MSTRG.16776,725,678,632,274,268,148,459,953,586,337,899,164
MSTRG.18842,323,514,384,315,320,359,349,800,1066,437,328,351
MSTRG.5576,239,211,231,0,19,18,147,26,31,14,306,60
MSTRG.6589,0,4,0,0,0,33,0,0,11,6,6,0
MSTRG.17517,7,0,0,29,12,0,0,54,45,7,8,0
MSTRG.965,96,88,83,53,44,57,32,95,116,50,49,62
MSTRG.11239,568,458,445,574,320,460,315,1572,1242,400,513,725
MSTRG.9649,485,432,296,286,323,313,208,618,886,399,290,362
MSTRG.18214,2247,1593,2206,2198,1379,1555,1501,6350,4005,1666,1513,1474
MSTRG.6234,40,17,24,30,50,30,24,54,31,56,43,27
MSTRG.6364,0,13,0,5,0,0,0,11,16,12,9,3
MSTRG.13430,1317,1374,1110,1171,947,654,546,2608,1739,1287,679,1008
MSTRG.10241,22105,23877,20983,8872,21022,23767,17380,50796,50434,25815,28644,20634
MSTRG.17586,736,655,532,402,592,415,356,1282,1362,664,561,584
MSTRG.13433,92,75,104,76,68,53,47,121,169,74,52,58
MSTRG.13066,362,303,259,196,197,249,210,598,653,335,290,297
MSTRG.9198,6,0,11,8,3,11,17,34,14,17,13,9
MSTRG.9199,1051,975,863,930,861,751,871,2305,1791,970,913,1319
MSTRG.13067,1742,1300,1052,1237,1241,976,886,3364,2812,1387,1275,1565
MSTRG.9192,0,0,0,2,0,0,0,0,0,0,0,0
MSTRG.961,1607,1465,1276,1146,1262,998,886,2911,3093,1533,1180,1471
MSTRG.9190,8,11,0,30,8,4,0,23,20,7,0,0
MSTRG.9191,291,270,235,155,332,116,150,361,482,346,201,256
MSTRG.9196,958,785,645,833,770,497,471,1901,2074,959,626,987
MSTRG.1918,99152,79718,42580,80330,61560,68248,30870,256039,273286,35079,69922,48901
MSTRG.9194,2123,2063,1650,1550,1073,671,931,2068,2855,1099,1183,1169
MSTRG.9195,3143,3127,2406,2683,2461,1994,1606,6490,5518,3244,2293,3064
MSTRG.1769,11,11,20,6,0,9,7,20,17,11,13,33
MSTRG.1768,0,2,0,0,0,2,3,0,4,0,2,0
MSTRG.1919,14,5,11,0,12,3,4,9,0,13,3,6
MSTRG.963,493,340,249,238,321,211,270,840,624,408,303,259
MSTRG.1430,627,641,483,536,453,505,474,1915,1257,708,524,746
MSTRG.1761,235,272,200,156,202,151,124,410,419,252,185,258
MSTRG.1760,29,22,13,4,18,4,9,59,33,23,17,34
MSTRG.1763,230,213,172,155,179,296,116,682,410,186,179,257
