"","logFC","logCPM","F","PValue","FDR"
"MSTRG.10066",0.611979847881024,6.88427734246283,26.6661457325543,0.000532115130739362,0.0460859219186884
"MSTRG.17634",3.10388325475998,-0.144543929659717,21.4126791399988,0.000536989063487737,0.0460859219186884
"MSTRG.7755",3.4871408241808,5.1379684357017,26.5899012679379,0.000538070268018834,0.0460859219186884
"MSTRG.1372",-0.922887636834252,3.394287665676,26.5702207450872,0.000539350485739015,0.0460859219186884
"MSTRG.20264",2.29215119703686,3.66071460689305,26.5624091117543,0.000540457886372543,0.0460859219186884
"MSTRG.11159",-0.542576016262585,7.54790330722254,26.5178754898069,0.000542748531235859,0.0460859219186884
"MSTRG.14186",-0.784848368233648,5.10355620490606,26.5098734015221,0.000543399246987608,0.0460859219186884
"MSTRG.19739",-1.5958387182481,3.13417472417775,26.3908074712935,0.000552847875201402,0.0466273648538748
"MSTRG.20599",-0.851710737871909,4.24929601199795,26.3294685979912,0.000556795401460704,0.0466273648538748
"MSTRG.11369",-1.9370934395772,7.34520378865691,26.3166251281237,0.000557600227925633,0.0466273648538748
"MSTRG.12768",1.24020704828687,5.68285114069799,26.2824115064524,0.000560207001520734,0.046627461824249
"MSTRG.17637",-2.96416801157344,5.89650451977319,26.2340027051487,0.000563946147193752,0.0467213717779269
"MSTRG.16160",0.835291057367944,5.00299057578335,26.1291881130104,0.000571945362589223,0.046888483075312
"MSTRG.11095",-0.778830396483013,4.57261476421609,26.0765133651802,0.000576080467112425,0.046888483075312
"MSTRG.21514",-1.15755180044397,3.19274065031943,26.079055657856,0.000576333611815487,0.046888483075312
"MSTRG.8375",-0.608998745770427,5.57232588131273,26.0707362849103,0.000576444050101628,0.046888483075312
"MSTRG.13196",8.16836522173537,-0.674097140006791,40.9098531835162,0.000589356042636641,0.0477218388370258
"MSTRG.6600",-0.470356451521484,7.09756325488341,25.8691373129611,0.000592431897853419,0.04775481446886
"MSTRG.2622",2.6607349427052,3.18826653573558,25.6818648545158,0.000611111447907685,0.0489599358805854
"MSTRG.14128",-3.75212734801588,0.199865407911513,20.411074842155,0.000612854184814257,0.0489599358805854
"MSTRG.15511",-1.6611927310394,8.77789983886472,25.5242108060969,0.000621099058054207,0.0493980784172446
"MSTRG.13983",0.604654200507911,4.66345658685262,25.420676937473,0.000630148597108587,0.0498960581648591
